"Timestamp","เพศ","ช่วงอายุ","แนวเกม","เกมที่เล่น #1","เกมที่เล่น #2","Platform ที่เล่นบ่อยที่สุด"
"2018/11/23 11:02:48 PM GMT+7","หญิง","16 - 22ปี","Music","pubg mobile","line touch","Mobile"
"2018/11/23 11:10:46 PM GMT+7","ชาย","16 - 22ปี","Action;RPG;MOBA","LOL","PUBG","PC"
"2018/11/23 11:21:12 PM GMT+7","ชาย","16 - 22ปี","MOBA","LoL"," PB","PC"
"2018/11/23 11:24:51 PM GMT+7","ชาย","9 - 15ปี","Action;Card;Racing;Puzzle;MOBA","Talesrunner","LOL","PC"
"2018/11/23 11:26:05 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Card;RPG;MOBA","League of legend.","battlefield series.","PC"
"2018/11/23 11:27:11 PM GMT+7","ชาย","16 - 22ปี","Sports;MOBA","Talesrunner  ","Hon","PC"
"2018/11/23 11:32:58 PM GMT+7","หญิง","16 - 22ปี","Action;Adventure;MOBA;Other","League of Legends","เกมเศรษฐี","Mobile"
"2018/11/23 11:41:18 PM GMT+7","ชาย","16 - 22ปี","MOBA","Clash of Clans","Duel Link","Mobile"
"2018/11/24 12:10:54 AM GMT+7","หญิง","16 - 22ปี","Action;Adventure;RPG;Music;MOBA","LOL","Osu","PC"
"2018/11/24 12:11:56 AM GMT+7","ชาย","16 - 22ปี","Adventure","Marvel Spider-man","LOL","PC"
"2018/11/24 12:45:03 AM GMT+7","ชาย","9 - 15ปี","RPG;MOBA","TalesRunner","LOL",""
"2018/11/24 12:56:57 AM GMT+7","ชาย","16 - 22ปี","Action;MOBA","LOL","RB6","PC"
"2018/11/24 12:58:08 AM GMT+7","หญิง","16 - 22ปี","Arcade;Puzzle;MOBA","RoV","Arcade","Mobile"
"2018/11/24 2:15:24 AM GMT+7","ชาย","23 - 29ปี","RPG;MOBA","LOL","lol","PC"
"2018/11/24 4:01:21 AM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Music;MOBA","TOM CLANCY RB6","Lol","PC"
"2018/11/24 4:15:08 AM GMT+7","ชาย","9 - 15ปี","Action;RPG;Racing;MOBA","เทลส์รันเนอร์ เกาหลี 테일즈런너","Soulworker 소울워커","PC"
"2018/11/24 4:51:53 AM GMT+7","ชาย","16 - 22ปี","Action;MOBA","League of Legends","Heroes & Generals","PC"
"2018/11/24 5:37:16 AM GMT+7","ชาย","16 - 22ปี","Action;Adventure;MOBA","League of Legends","Overwatch","PC"
"2018/11/24 6:59:44 AM GMT+7","ชาย","16 - 22ปี","Action;RPG;MOBA","LOL","Black desert","PC"
"2018/11/24 7:17:58 AM GMT+7","ชาย","16 - 22ปี","MOBA","lol","dota2","PC"
"2018/11/24 7:26:15 AM GMT+7","ชาย","9 - 15ปี","Action;Adventure;MOBA","LoL","Warz","PC"
"2018/11/24 7:34:09 AM GMT+7","ชาย","9 - 15ปี","MOBA","League​ ​of​ ​legends​","Pubg​ mobile​","Mobile"
"2018/11/24 8:37:48 AM GMT+7","หญิง","16 - 22ปี","Arcade;RPG;Puzzle;Music;MOBA","LOL","ROV","PC"
"2018/11/24 9:01:13 AM GMT+7","ชาย","16 - 22ปี","RPG;MOBA;Other","League Of Legends","Stardew Valley","PC"
"2018/11/24 9:02:40 AM GMT+7","ชาย","9 - 15ปี","MOBA","League of Legends","Rov","PC"
"2018/11/24 9:26:39 AM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;Sports;Music","Talesrunner","Cabal","PC"
"2018/11/24 10:00:18 AM GMT+7","ชาย","16 - 22ปี","Action;Arcade;Card;RPG;Racing;Puzzle;MOBA","Lol ","Warframe","PC"
"2018/11/24 10:14:07 AM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;MOBA","LoL","7K","PC"
"2018/11/24 10:31:28 AM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;Puzzle;MOBA","LOL","FNAF","PC"
"2018/11/24 11:00:11 AM GMT+7","ชาย","16 - 22ปี","MOBA","Hero of new earth","Hon","PC"
